rota_principal,sentido,data,dia_da_semana,antecedencia,pax,tkm_comp,capacidade_atual,occ_atual,load_factor_atual,assentos_disponiveis,predict_time_series,predict_eixo_sentido,predict_consenso,pct_atingimento_forecast,pax_faltam_forecast,pax_d5,pax_d4,pax_d3,pax_d2,pax_d1,pax_hoje_parcial,media_d2_d5,aceleracao_abs,aceleracao_pct,tendencia_linear,sinal
BHZ-IPA,IPA-BHZ,2026-04-16,5,7,30,74.27,270,0.11,0.09,240,166,115,141,21.3,111,5,0,9,6,1,0,5.0,-4.0,-80.0,-0.1,🚨 ABAIXO FORECAST + DESACEL - URGENTE
GVS-SAO,GVS-SAO,2026-04-16,5,7,31,145.9,64,0.48,0.39,33,60,66,63,49.2,32,0,0,9,12,0,0,5.3,-5.3,-100.0,0.8,🚨 ABAIXO FORECAST + DESACEL - URGENTE
CMP-SJK,CMP-SJK,2026-04-16,5,7,3,28.9,46,0.07,0.02,43,54,49,52,5.8,49,0,0,0,1,0,0,0.3,-0.3,-100.0,0.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CMP-SAO,SAO-CMP,2026-04-16,5,7,40,18.85,322,0.12,0.11,282,237,222,230,17.4,190,1,3,4,2,12,0,2.5,9.5,380.0,1.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CMP-SJK,SJK-CMP,2026-04-16,5,7,7,32.76,46,0.15,0.11,39,39,38,39,17.9,32,0,0,1,0,4,0,0.3,3.8,1500.0,0.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CMP-SAO,CMP-SAO,2026-04-16,5,7,48,20.13,368,0.13,0.11,320,290,236,263,18.3,215,2,3,4,5,11,0,3.5,7.5,214.3,1.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-SJK,SAO-SJK,2026-04-16,5,7,21,17.23,184,0.11,0.11,163,119,97,108,19.4,87,1,1,2,2,4,0,1.5,2.5,166.7,0.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
IPA-VIX,VIX-IPA,2026-04-16,5,7,10,96.4,81,0.12,0.11,71,56,46,51,19.6,41,0,1,0,1,0,0,0.5,-0.5,-100.0,0.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
IPA-VIX,IPA-VIX,2026-04-16,5,7,14,131.69,80,0.18,0.15,66,64,50,57,24.6,43,0,0,1,1,2,0,0.5,1.5,300.0,0.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-SJK,SJK-SAO,2026-04-16,5,7,30,18.8,184,0.16,0.15,154,137,107,122,24.6,92,0,2,1,4,11,0,1.8,9.3,528.6,1.6,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-RAO,RAO-BHZ,2026-04-16,5,7,13,228.21,49,0.27,0.21,36,47,50,49,26.5,36,0,2,0,2,4,0,1.0,3.0,300.0,0.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-UDI,BHZ-UDI,2026-04-16,5,7,37,178.79,102,0.36,0.34,65,132,128,130,28.5,93,0,3,9,15,7,0,6.8,0.3,3.7,1.7,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BOA-MAN,MAN-BOA,2026-04-16,5,7,12,113.9,43,0.28,0.28,31,43,39,41,29.3,29,0,0,0,1,2,0,0.3,1.8,700.0,0.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CDG-RIO,RIO-CDG,2026-04-16,5,7,27,58.12,92,0.29,0.29,65,93,81,87,31.0,60,2,0,1,2,6,0,1.3,4.8,380.0,0.7,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BOA-MAN,BOA-MAN,2026-04-16,5,7,13,131.59,42,0.31,0.29,29,40,41,41,31.7,28,0,0,2,2,2,0,1.0,1.0,100.0,0.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-IPA,BHZ-IPA,2026-04-16,5,7,63,67.85,313,0.2,0.17,250,196,187,192,32.8,129,2,0,3,9,11,0,3.5,7.5,214.3,1.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-SJP,SJP-SAO,2026-04-16,5,7,81,97.09,190,0.43,0.36,109,244,240,242,33.5,161,6,4,18,5,29,0,8.3,20.8,251.5,3.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
RAO-SAO,SAO-RAO,2026-04-16,5,7,132,71.29,476,0.28,0.24,344,376,378,377,35.0,245,3,4,23,35,26,0,16.3,9.8,60.0,5.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
MCL-SAO,SAO-MCL,2026-04-16,5,7,27,136.05,64,0.42,0.28,37,78,69,74,36.5,47,6,0,6,3,3,0,3.8,-0.8,-20.0,-0.2,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
RIO-SAO,RIO-SAO,2026-04-16,5,7,171,118.55,619,0.28,0.27,448,464,459,462,37.0,291,13,50,50,55,54,0,42.0,12.0,28.6,5.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-UDI,SAO-UDI,2026-04-16,5,7,21,155.33,43,0.49,0.48,22,48,62,55,38.2,34,4,2,4,4,4,0,3.5,0.5,14.3,0.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CDG-RIO,CDG-RIO,2026-04-16,5,7,34,54.93,92,0.37,0.36,58,97,78,88,38.6,54,1,1,3,7,2,0,3.0,-1.0,-33.3,0.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
