data,turno,rota_principal,sentido,antecedencia,dia_da_semana,pax,capacidade_atual,occ_atual,vagas_restantes,lf_pascoa_2026,lf_atual,ratio,tkm_atual,tkm_comp,preco_base,preco_est_draft,preco_est_novo,preco_com_sazonalidade,preco_mult_flutuacao,mult_final,mult_flutuacao,price_cc,origem_match,qtd_dias_no_idx
2026-04-17,MADRUGADA,MCE-RIO,RIO-MCE,1,6,44,45,0.98,1,0.0,0.8803,0.0,44.74,,39.9,43.9,47.9,47.9,81.65555570665288,1.201,1.7047088874040268,126.148,sem_match,
2026-04-17,MANHA,BAT-SAO,BAT-SAO,1,6,45,45,1.0,0,0.6847,0.8622,1.2592,129.7,93.92,123.9,123.9,176.9,176.9,222.61114794933982,1.428,1.2584010624609374,199.95,com_turno,1.0
2026-04-17,MANHA,BHZ-DTI,BHZ-DTI,1,6,25,46,0.54,21,0.0,0.4543,0.0,72.9,,,,,,,1.105,1.1549999999999998,177.84,sem_match,
2026-04-17,MANHA,BHZ-RIO,BHZ-RIO,1,6,41,60,0.68,19,0.836,0.6502,0.7778,150.36,216.44,,,,,,1.748,1.82,317.468,com_turno,1.0
2026-04-17,MANHA,BRU-SAO,BRU-SAO,1,6,30,46,0.65,16,0.8519,0.5929,0.696,90.13,,,,,,,1.391,1.20999375,159.024,com_turno,1.0
2026-04-17,MANHA,CAB-RIO,RIO-CAB,1,6,90,92,0.98,2,0.6397,0.8897,1.3907,67.69,,50.9,57.9,74.9,74.9,105.55251053410547,1.454,1.4092458015234373,,com_turno,1.0
2026-04-17,MANHA,CDG-RIO,CDG-RIO,1,6,45,46,0.98,1,0.9504,0.9659,1.0163,85.17,,,,,,,1.235,1.6112249212395564,147.383,com_turno,1.0
2026-04-17,MANHA,CMP-GUR,GUR-CMP,1,6,43,41,1.05,-2,0.0,0.7994,0.0,88.9,,,,,,,1.804,0.85,,sem_match,
2026-04-17,MANHA,CRG-SAO,SAO-CRG,1,6,122,134,0.91,12,0.8506,0.7259,0.8534,70.7,,52.9,55.9,76.9,76.9,101.45049463962343,1.454,1.3192522059768976,,com_turno,1.0
2026-04-17,MANHA,OLP-SAO,OLP-SAO,1,6,46,46,1.0,0,0.0,0.7077,0.0,81.36,,113.9,133.9,153.9,153.9,212.38200000000003,1.343,1.3800000000000001,199.0,sem_match,
2026-04-17,MANHA,RAO-SAO,RAO-SAO,1,6,148,182,0.81,34,0.7729,0.6401,0.8282,75.95,78.52,,,,,,1.472,1.21,163.768,com_turno,1.0
2026-04-17,NOITE,ANG-BHZ,ANG-BHZ,1,6,40,46,0.87,6,0.6184,0.7585,1.2265,195.97,,,,,,,2.044,1.21,,com_turno,1.0
2026-04-17,NOITE,ANG-BHZ,BHZ-ANG,1,6,94,95,0.99,1,0.6023,0.9271,1.5393,311.49,278.36,,,,,,2.741,0.9,,com_turno,1.0
2026-04-17,NOITE,ARB-SAO,SAO-ARB,1,6,153,153,1.0,0,0.815,0.8497,1.0426,177.67,211.72,122.9,131.9,155.9,155.9,244.91186777669665,1.265,1.570954892730575,174.41,com_turno,1.0
2026-04-17,NOITE,BAT-SAO,BAT-SAO,1,6,45,45,1.0,0,0.7964,0.9284,1.1658,163.14,177.49,142.9,155.9,194.9,194.9,257.26800000000003,1.362,1.32,252.4,com_turno,1.0
2026-04-17,NOITE,BAT-SAO,SAO-BAT,1,6,70,91,0.77,21,0.796,0.669,0.8405,145.03,171.26,136.9,160.9,261.9,261.9,256.662,1.914,0.98,254.6,com_turno,1.0
2026-04-17,NOITE,BHZ-BSB,BSB-BHZ,1,6,78,91,0.86,13,0.6,0.858,1.43,246.29,,,,,,,1.935,1.73,261.809,com_turno,1.0
